[INFO], 18/Jul/2021 - 23:49:49, Truck is on road
[INFO], 18/Jul/2021 - 23:49:53, Truck is on road
[INFO], 18/Jul/2021 - 23:49:54, Truck is on road
[INFO], 18/Jul/2021 - 23:49:54, Truck is on road
[INFO], 18/Jul/2021 - 23:49:55, Truck is on road
[INFO], 18/Jul/2021 - 23:49:55, Truck is on road
[INFO], 18/Jul/2021 - 23:49:56, Truck is on road
[INFO], 18/Jul/2021 - 23:49:56, Truck is on road
[INFO], 18/Jul/2021 - 23:49:57, Truck is on road
[INFO], 18/Jul/2021 - 23:53:46, Truck is on road
[INFO], 18/Jul/2021 - 23:53:46, Truck is on road
[INFO], 18/Jul/2021 - 23:53:46, Truck is on road
[INFO], 18/Jul/2021 - 23:53:46, Truck is on road
[INFO], 18/Jul/2021 - 23:53:47, Truck is on road
